brands,prices,names
MSI,629.99,MSI GeForce GTX 1080 DirectX 12 GTX 1080 GAMING 8G 8GB 256-Bit GDDR5X PCI Express 3.0 x16 HDCP Ready SLI Support ATX Video Card
EVGA,269.99,"EVGA GeForce GTX 1060 6GB SSC GAMING ACX 3.0, 6GB GDDR5, LED, DX12 OSD Support (PXOC), 06G-P4-6267-KR"
GIGABYTE,569.99,GIGABYTE GeForce GTX 1080 DirectX 12 GV-N1080D5X-8GD 8GB 256-Bit GDDR5X PCI Express 3.0 x16 ATX Video Cards
"PNY Technologies, Inc.",149.99,PNY GeForce GTX 1050 Ti DirectX 12 VCGGTX1050T4PB 4GB 128-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready Video Card
ASUS,669.99,ASUS ROG GeForce GTX 1080 STRIX-GTX1080-A8G-GAMING 8GB 256-Bit GDDR5X PCI Express 3.0 HDCP Ready Video Card
GIGABYTE,119.99,GIGABYTE GeForce GTX 1050 DirectX 12 GV-N1050OC-2GD 2GB 128-Bit GDDR5 PCI Express 3.0 x16 ATX Video Cards
"PNY Technologies, Inc.",47.25,PNY Commercial Series GeForce 8400 GS DirectX 10 VCG84DMS1D3SXPB-CG 1GB 64-Bit DDR3 PCI Express 2.0 x16 Low Profile Video Card
EVGA,264.99,"EVGA GeForce GTX 1060 SC GAMING, ACX 2.0 (Single Fan), 06G-P4-6163-KR, 6GB GDDR5, DX12 OSD Support (PXOC), Only 6.8 Inches"
GIGABYTE,264.99,GIGABYTE GeForce GTX 1060 Windforce OC GV-N1060WF2OC-6GD Video Card
"PNY Technologies, Inc.",249.99,PNY GeForce GTX 1060 DirectX 12 VCGGTX10606PB 6GB 192-Bit GDDR5 PCI Express 3.0 Video Card
GIGABYTE,0,GIGABYTE GeForce GTX 1080 G1 Gaming GV-N1080G1 GAMING-8GD Video Card
XFX,51.99,XFX Radeon R7 240 R7-240A-2TS2 2GB 128-Bit DDR3 PCI Express 3.0 Video Cards
GIGABYTE,209.99,GIGABYTE GeForce GTX 1060 Windforce OC 3GB GV-N1060WF2OC-3GD Video Card
EVGA,164.99,"EVGA GeForce GTX 1050 Ti FTW GAMING ACX 3.0, 04G-P4-6258-KR, 4GB GDDR5, DX12 OSD Support (PXOC)"
Sapphire Tech,119.99,SAPPHIRE NITRO Radeon RX 460 DirectX 12 100409NT-4GOCL 4GB 128-Bit GDDR5 PCI Express 3.0 HDCP Ready CrossFireX Support Video Card
EVGA,149.99,"EVGA GeForce GTX 1050 Ti SC GAMING, 04G-P4-6253-KR, 4GB GDDR5, DX12 OSD Support (PXOC)"
EVGA,609.99,"EVGA GeForce GTX 1080 FTW GAMING ACX 3.0, 08G-P4-6286-KR, 8GB GDDR5X, RGB LED, 10CM FAN, 10 Power Phases, Double BIOS, DX12 OSD Support (PXOC)"
"PNY Technologies, Inc.",399.99,PNY GeForce GTX 1070 DirectX 12 VCGGTX10708XGPB-OC 8GB 256-Bit GDDR5 PCI Express 3.0 x16 XLR8 Gaming OC Edition Video Card
EVGA,209.99,"EVGA GeForce GTX 1060 SC GAMING, ACX 2.0 (Single Fan), 03G-P4-6162-KR, 3GB GDDR5, DX12 OSD Support (PXOC)"
PowerColor,129.99,PowerColor RED DRAGON Radeon RX 460 DirectX 12 AXRX4604GBD5-DHV2/OC 4GB 128-Bit GDDR5 PCI Express 3.0 CrossFireX Support ATX Video Card
EVGA,0,"EVGA GeForce GTX 1050 SSC GAMING ACX 3.0, 02G-P4-6154-KR, 2GB GDDR5, DX12 OSD Support (PXOC)"
Sapphire Tech,274.99,SAPPHIRE NITRO+ Radeon RX 480 100406NT+8GOCL 8GB 256-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready Video Card
Sapphire Tech,99.99,SAPPHIRE Radeon RX 460 DirectX 12 100409-2GOC-2L 2GB 128-Bit GDDR5 PCI Express 3.0 CrossFireX Support Video Cards
XFX,799.99,XFX Radeon Pro Duo R9-PROD-8VRW 8GB 4096-Bit HBM PCI Express 3.0 CrossFireX Support Video Card
Sapphire Tech,209.99,SAPPHIRE NITRO+ Radeon RX 470 100407NT+8GOCL 8GB 256-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready Video Card
Sapphire Tech,184.99,SAPPHIRE NITRO+ Radeon RX 470 100407NT+4GOCL 4GB 256-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready Video Card
EVGA,109.99,"EVGA GeForce GTX 1050 GAMING, 02G-P4-6150-KR, 2GB GDDR5, DX12 OSD Support (PXOC)"
PowerColor,69.99,PowerColor Radeon R7 360 DirectX 12 AXR7 360 2GBD5-DHE 2GB 128-Bit GDDR5 PCI Express 3.0 HDCP Ready CrossFireX Support ATX Video Card
EVGA,409.99,"EVGA GeForce GTX 1070 SC GAMING ACX 3.0, 08G-P4-6173-KR, 8GB GDDR5, LED, DX12 OSD Support (PXOC)"
Sapphire Tech,55.99,SAPPHIRE Radeon R7 350 DirectX 12 100385L 2GB 128-Bit GDDR5 PCI Express 3.0 CrossFireX Support Video Card
EVGA,499.99,"EVGA GeForce GTX 1070 FTW HYBRID GAMING, 08G-P4-6278-KR, 8GB GDDR5, RGB LED, All-In-One Watercooling with 10CM FAN, 10 Power Phases, Double BIOS, DX12 OSD Support (PXOC)"
EVGA,409.99,"EVGA GeForce GTX 1070 GAMING, 8GB GDDR5, DX12 OSD Support, Graphics Cards (08G-P4-5170-KR)"
EVGA,429.99,"EVGA GeForce GTX 1070 FTW DT  GAMING ACX 3.0, 8GB GDDR5, RGB LED, 10CM FAN, 10 Power Phases, DX12, 08G-P4-6274-KR"
XFX,0,XFX One R-Series Radeon HD 5450 A12 DirectX 11 ON-XFX1-DLX2 2GB 64-Bit DDR3 PCI Express 2.1 Low Profile Ready Deluxe Edition Video Card
MSI,144.99,MSI GeForce GTX 1050 Ti DirectX 12 GTX 1050 Ti 4GT OC 4GB 128-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready ATX Video Card
Sapphire Tech,194.99,SAPPHIRE NITRO+ Radeon RX 480 DirectX 12 100406NT+4GOCL 4GB 256-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready CrossFireX Support Video Card
GIGABYTE,54.99,GIGABYTE Ultra Durable 2 Series Radeon R7 250 DirectX 12 GV-R725OC-2GI (rev. 5.0) 2GB 128-Bit DDR3 PCI Express 3.0 x16 ATX Video Cards
EVGA,249.99,"EVGA GeForce GTX 1060 GAMING, ACX 2.0 (Single Fan), 06G-P4-6161-KR, 6GB GDDR5, DX12 OSD Support (PXOC), Only 6.8 Inches"
GIGABYTE,399.99,GIGABYTE GeForce GTX 1070 DirectX 12 GV-N1070G1 GAMING-8GD 8GB 256-Bit GDDR5 PCI Express 3.0 x16 ATX Video Card
EVGA,31.99,EVGA GeForce 8400 GS DirectX 10 01G-P3-1302-LR 1GB 64-Bit DDR3 PCI Express 2.0 x16 HDCP Ready Low Profile Ready Video Card
XFX,184.99,XFX Radeon RX 470 RS Triple X DirectX 12 RX-470P436BM 4GB 256-Bit GDDR5 PCI Express 3.0 CrossFireX Support Video Card
EVGA,299.99,EVGA GeForce GTX 1060 DirectX 12 06G-P4-6368-KR 6GB 192-Bit GDDR5 PCI Express 3.0 FTW+ GAMING ACX 3.0 Video Card
GIGABYTE,249.99,GIGABYTE GeForce GTX 1060 Mini ITX OC 6GB GV-N1060IXOC-6GD Video Card
PowerColor,259.99,PowerColor RED DEVIL Radeon RX 480 DirectX 12 AXRX 480 8GBD5-3DH/OC 8GB 256-Bit GDDR5 PCI Express 3.0 CrossFireX Support ATX Video Card
EVGA,429.99,"EVGA GeForce GTX 1070 FTW GAMING ACX 3.0, 08G-P4-6276-KR, 8GB GDDR5, RGB LED, 10CM FAN, 10 Power Phases, Double BIOS, DX12 OSD Support (PXOC)"
GIGABYTE,89.99,GIGABYTE Radeon R7 360 DirectX 12 GV-R736OC-2GD (rev. 3.0) 2GB 128-Bit GDDR5 PCI Express 3.0 ATX Video Card
GIGABYTE,149.99,GIGABYTE GeForce GTX 1050 Ti DirectX 12 GV-N105TOC-4GD 4GB 128-Bit GDDR5 PCI Express 3.0 x16 ATX Video Cards
XFX,199.99,XFX Radeon RS RX 480 DirectX 12 RX-480P4LFB6 4GB 256-Bit GDDR5 PCI Express 3.0 CrossFireX Support Video Card
EVGA,62.99,EVGA GeForce GT 730 DirectX 12 (feature level 11_0) 01G-P3-2731-KR 1GB 128-Bit DDR3 PCI Express 2.0 Video Card
XFX,0,XFX Radeon RX 460 DirectX 12 RX-460P4DFG5 4GB 128-Bit GDDR5 PCI Express 3.0 CrossFireX Support Video Card
GIGABYTE,49.99,GIGABYTE Radeon R7 240 DirectX 11.1 GV-R724OC-2GI REV2.0 2GB 128-Bit DDR3 PCI Express 3.0 HDCP Ready Video Card
GIGABYTE,359.99,GIGABYTE GeForce GTX 1070 Mini ITX OC GV-N1070IXOC-8GD Video Card
EVGA,654.88,"EVGA GeForce GTX 1080 FTW DT GAMING ACX 3.0, 8GB GDDR5X, RGB LED, 10CM FAN, 10 Power Phases, DX12, 08G-P4-6284-KR"
EVGA,0,EVGA 200 GeForce 210 DirectX 10.1 01G-P3-1312-LR 1GB 64-Bit DDR3 PCI Express 2.0 x16 HDCP Ready Low Profile Video Card
MSI,99.99,MSI GeForce GTX 750 Ti DirectX 12 N750 Ti-1GD5/OC 1GB 128-Bit GDDR5 PCI Express 3.0 x16 Video Card
PowerColor,169.99,PowerColor RED DRAGON Radeon RX 470 DirectX 12 AXRX 470 4GBD5-3DHDV2/OC 4GB 256-Bit GDDR5 PCI Express 3.0 HDCP Ready CrossFireX Support ATX Video Card
EVGA,429.99,"EVGA GeForce GTX 1070 HYBRID GAMING, 08G-P4-6178-KR, 8GB GDDR5, LED, All-In-One Watercooling, DX12 OSD Support (PXOC)"
GIGABYTE,799.99,GIGABYTE GeForce GTX 1080 8GB GV-N1080XTREMEWB-8GD Xtreme Gaming WATERFORCE WB
EVGA,39.99,EVGA GeForce GT 710 DirectX 12 02G-P3-2712-KR 2GB 64-Bit DDR3 PCI Express 2.0 Video Card
"PNY Technologies, Inc.",649.99,PNY GeForce GTX 1080 DirectX 12 VCGGTX10808XGPB-OC 8GB 256-Bit GDDR5X PCI Express 3.0 x16 SLI Support XLR8 Gaming OC Edition Video Card
XFX,799.99,XFX Radeon Pro Duo R9-PROD-8VRW 8GB 4096-Bit HBM PCI Express 3.0 CrossFireX Support Video Card
EVGA,169.99,"EVGA GeForce GTX 950 02G-P4-2958-KR 2GB FTW GAMING, Silent Cooling Gaming Graphics Card"
Sapphire Tech,284.99,SAPPHIRE NITRO Radeon R9 Fury 100379NTOC+SR 4GB 4096-Bit HBM TRI-X OC+ (UEFI) Video Card
PowerColor,184.99,PowerColor RED DEVIL Radeon RX 470 DirectX 12 AXRX 470 4GBD5-3DH/OC 4GB 256-Bit GDDR5 PCI Express 3.0 CrossFireX Support ATX Video Card
ASUS,404.99,ASUS GeForce GTX 1070 DUAL-GTX1070-O8G 8GB 256-Bit GDDR5 PCI Express 3.0 HDCP Ready SLI Support Video Card
EVGA,119.99,"EVGA GeForce GTX 1050 SC GAMING, 02G-P4-6152-KR, 2GB GDDR5, DX12 OSD Support (PXOC)"
XFX,129.99,"XFX Radeon RX 460 DirectX 12 RX-460P4TFG5 4GB 128-Bit GDDR5 PCI Express 3.0 CrossFireX Support Video Card, Slim Design"
GIGABYTE,124.99,GIGABYTE Radeon RX 460 WINDFORCE OC 4GB GV-RX460WF2OC-4GD
GIGABYTE,129.99,GIGABYTE GeForce GTX 950 2GB GV-N950XTREME C-2GD Xtreme Gaming
PowerColor,249.99,PowerColor PCS+ Radeon R9 390 DirectX 12 AXR9 390 8GBD5-PPDHE 8GB 512-Bit GDDR5 PCI Express 3.0 CrossFireX Support ATX Video Card
XFX,0,"XFX Radeon RX 470 DirectX 12 RX-470P4SFD5 4GB 256-Bit GDDR5 PCI Express 3.0 HDCP Ready Single Fan Edition

2048 Stream Processors

1226 MHz Core Clock

4GB 256-Bit GDDR5

6600 MHz Effective Memory Clo"
EVGA,76.39,EVGA GeForce GT 730 DirectX 12 (feature level 11_0) 02G-P3-3733-KR 2GB 64-Bit GDDR5 PCI Express 2.0 Low Profile Ready Video Card
EVGA,194.99,"EVGA GeForce GTX 1060 GAMING, ACX 2.0 (Single Fan), 03G-P4-6160-KR, 3GB GDDR5, DX12 OSD Support (PXOC), Only 6.8 Inches"
GIGABYTE,439.99,GIGABYTE GeForce GTX 1070 XTREME Gaming GV-N1070XTREME-8GD Video Card
XFX,99.99,XFX Radeon RX 460 True OC DirectX 12 RX-460P2SFG5 2GB 128-Bit GDDR5 PCI Express 3.0 CrossFireX Support Video Card
EVGA,28.99,EVGA GeForce 210 DirectX 10.1 512-P3-1310-LR 512MB 32-Bit DDR3 PCI Express 2.0 x16 HDCP Ready Low Profile Video Card
EVGA,269.99,EVGA GeForce GTX 1060 GAMING DirectX 12 06G-P4-6262-KR 6GB 192-Bit GDDR5 PCI Express 3.0 Video Cards
VisionTek,44.99,VisionTek Radeon R7 240 DirectX 11.2 900648 2GB 128-Bit DDR3 PCI Express 3.0 CrossFireX Support Video Card
EVGA,669.99,"EVGA GeForce GTX 1080 HYBRID GAMING, 08G-P4-6188-KR, 8GB GDDR5X, LED, DX12 OSD Support (PXOC)"
MSI,409.99,MSI GeForce GTX 1070 DirectX 12 GeForce GTX 1070 Quick Silver 8G OC 8GB 256-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready SLI Support ATX Video Card
"PNY Technologies, Inc.",164.8,PNY GeForce GTX 1050 Ti DirectX 12 VCGGTX1050T4XGPB-OC 4GB 128-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready XLR8 Gaming Overclocked Edition
XFX,209.99,XFX Radeon RX 470 RS Black Edition True OC DirectX 12 RX-470P437BM 4GB 256-Bit GDDR5 PCI Express 3.0 CrossFireX Support Video Card
MSI,619.99,MSI GeForce GTX 1080 DirectX 12 GTX 1080 ARMOR 8G OC 8GB 256-Bit GDDR5X PCI Express 3.0 x16 HDCP Ready SLI Support ATX Video Card
VisionTek,35.32,VisionTek Radeon 5450 DirectX 11 900860 1GB DDR3 PCI Express 2.1 x16 ATX Video Card
EVGA,34.99,EVGA GeForce GT 710 DirectX 12 01G-P3-2710-KR 1GB 64-Bit DDR3 PCI Express 2.0 Video Card
PowerColor,89.99,PowerColor Radeon R7 370 DirectX 12 AXR7 370 4GBD5-DHE 4GB 256-Bit GDDR5 PCI Express 3.0 CrossFireX Support ATX Video Card
MSI,689.99,MSI GeForce GTX 1080 DirectX 12 GTX 1080 GAMING X 8G 8GB 256-Bit GDDR5X PCI Express 3.0 x16 HDCP Ready SLI Support ATX Video Card
XFX,129.99,XFX Radeon RX 460 DirectX 12 RX-460P4HFG5 4GB 128-Bit GDDR5 PCI Express 3.0 CrossFireX Support Video Card
GIGABYTE,129.99,GIGABYTE GeForce GTX 750Ti 4GB WINDFORCE 2X OC EDITION
VisionTek,54.99,VisionTek Radeon R7 250 DirectX 11.2 900649 1GB 128-Bit GDDR5 PCI Express 3.0 CrossFireX Support Video Card
PowerColor,244.99,PowerColor RED DEVIL Radeon RX 480 DirectX 12 AXRX 480 8GBD5-3DHV2/OC 8GB 256-Bit GDDR5 PCI Express 3.0 CrossFireX Support ATX Video Card
GIGABYTE,89.99,GIGABYTE Ultra Durable 2 GeForce GT 740 DirectX 12 GV-N740D5OC-2GI (rev. 3.0) 2GB 128-Bit GDDR5 PCI Express 3.0 x16 ATX Video Card
EVGA,623.68,EVGA GeForce GTX 1080 DirectX 12 08G-P4-5180-KR 8GB 256-Bit GDDR5X PCI Express 3.0 SLI Support GAMING Video Card
"PNY Technologies, Inc.",452.16,PNY GeForce GTX 1070 Founders Edition 8GB GDDR5 PCI Express 3.0 Graphics Card VCGGTX10708PB-CG
GIGABYTE,104.99,GIGABYTE Radeon RX 460 WINDFORCE OC 2GB GV-RX460WF2OC-2GD
EVGA,39.99,EVGA GeForce GT 710 DirectX 12 01G-P3-2716-KR 1GB 64-Bit DDR3 PCI Express 2.0 Video Card
GIGABYTE,29.99,GIGABYTE HD Experience Series GeForce 210 DirectX 10.1 GV-N210SL-1GI 1GB 64-Bit DDR3 PCI Express 2.0 HDCP Ready Low Profile Ready Video Card
XFX,799.99,XFX Radeon Pro Duo R9-PROD-8VRW 8GB 4096-Bit HBM PCI Express 3.0 CrossFireX Support Video Card
GIGABYTE,589.99,GIGABYTE GeForce GTX 1080 DirectX 12 GV-N1080TTOC-8GD 8GB 256-Bit GDDR5X PCI Express 3.0 x16 ATX Turbo OC Video Card
MSI,34.99,MSI GeForce GT 710 DirectX 12 GT 710 1GD3H LP 1GB 64-Bit DDR3 PCI Express 2.0 x16 HDCP Ready Low Profile Video Card
EVGA,279.99,EVGA GeForce GTX 1060 DirectX 12 06G-P4-6268-KR 6GB 192-Bit GDDR5 PCI Express 3.0 FTW GAMING ACX 3.0 Video Card
GIGABYTE,169.99,GIGABYTE GeForce GTX 1050 Ti DirectX 12 GV-N105TG1 GAMING-4GD 4GB 128-Bit GDDR5 PCI Express 3.0 x16 ATX Video Cards
ASUS,94.95,ASUS Radeon R7 250 DirectX 12 R7250-2GD5 2GB 128-Bit GDDR5 PCI Express 3.0 HDCP Ready Video Cards
PowerColor,259.99,PowerColor Radeon RX 480 DirectX 12 AXRX 480 8GBD5-3DHD 8GB GDDR5 PCI Express 3.0 CrossFireX Support ATX Video Cards
GIGABYTE,0,GIGABYTE GeForce GTX 1080 XTREME Gaming Premium Pack Video Card
Sapphire Tech,32.99,SAPPHIRE Radeon R5 230 DirectX 11 100372L 1GB 64-Bit DDR3 PCI Express 3.0 Video Card
ASUS,0,ASUS ROG STRIX Radeon RX 470 4GB OC Edition AMD Gaming Graphics Card with DP 1.4 HDMI 2.0 (STRIX-RX470-O4G)
XFX,389.99,XFX R9-FURY-4QFA RADEON R9 FURY X 4GB HBM Liquid Cooled 4096-Bit PCI Express 3.0 CrossFireX Support Video Card
GIGABYTE,224.99,GIGABYTE Radeon RX 480 WINDFORCE 8GB GV-RX480WF2-8GD Video Card
GIGABYTE,219.99,GIGABYTE GeForce GTX 1060 G1 Gaming 3GB GV-N1060G1 GAMING-3GD Video Card
GIGABYTE,174.99,GIGABYTE Radeon RX 470 WINDFORCE 4GB GV-RX470WF2-4GD Video Card
XFX,0,XFX Radeon GTR RX 480 DirectX 12 RX-480P8DFA6 8GB 256-Bit GDDR5 PCI Express 3.0 CrossFireX Support Triple X Video Card
GIGABYTE,42.04,GIGABYTE GeForce GT 710 DirectX 12 GV-N710D3-2GL REV2.0 2GB 64-Bit DDR3 PCI Express 2.0 Low Profile Video Card
EVGA,389.99,"EVGA GeForce GTX 1070 SC GAMING ACX 3.0 Black Edition, 08G-P4-5173-KR, 8GB GDDR5, LED, DX12 OSD Support (PXOC)"
ZOTAC,409.99,"ZOTAC GeForce GTX 1070 AMP! Edition, ZT-P10700C-10P, 8GB GDDR5 IceStorm Cooling, Metal Wraparound Carbon ExoArmor exterior, Ultra-wide 100mm Fans, Spectra Lighting, PowerBoost, FREEZE fan stop"
ASUS,189.99,ASUS Radeon R9 380 STRIX-R9380-DC2-2GD5-GAMING 2GB 256-Bit GDDR5 PCI Express 3.0 HDCP Ready Video Card
ASUS,70.33,ASUS Radeon R7 240 DirectX 11.2 R7240-2GD3-L 2GB 128-Bit DDR3 PCI Express 3.0 HDCP Ready Low Profile Video Card
EVGA,39.99,EVGA GeForce GT 710 DirectX 12 01G-P3-2711-KR 1GB 64-Bit DDR3 PCI Express 2.0 Low Profile Video Card
MSI,59.99,MSI GeForce GT 730 DirectX 12 N730-2GD3V3 2GB 128-Bit DDR3 PCI Express 2.0 x16 HDCP Ready ATX Video Card
GIGABYTE,699.99,GIGABYTE GeForce GTX 1080 Founders Edition GV-N1080D5X-8GD-B
VisionTek,209.99,"VisionTek Radeon RX 480 DirectX 12 900898 8GB 256-Bit GDDR5 PCI Express 3.0 x16 ""Overclocked"" Edition Video Card"
VisionTek,129.99,"VisionTek Radeon RX 460 DirectX 12 900900 4GB 128-Bit GDDR5 PCI Express 3.0 x16 ""Overclocked"" Edition Video Card"
ASUS,104.99,ASUS GeForce GTX 750 Ti STRIX-GTX750TI-OC-2GD5 2GB 128-Bit GDDR5 PCI Express 3.0 HDCP Ready Video Card
MSI,254.99,MSI Radeon RX 480 DirectX 12 RX 480 GAMING X 8G 8GB 256-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready CrossFireX Support ATX Video Card
PowerColor,29.99,PowerColor Go! Green Radeon HD 5450 DirectX 11 AX5450 2GBK3-SHV7E 2GB 64-Bit DDR3 PCI Express 2.1 HDCP Ready CrossFireX Support Low Profile Video Card
ASUS,0,ASUS GeForce GTX 1080 TURBO-GTX1080-8G 8GB 256-Bit GDDR5X PCI Express 3.0 HDCP Ready SLI Support Video Card
ASUS,54.99,ASUS Radeon HD 6450 DirectX 11 HD6450-SL-2GD3-L 2GB 64-Bit DDR3 PCI Express 2.1 x16 HDCP Ready Low Profile Ready Video Card
GIGABYTE,0,GIGABYTE GeForce GTX 750 Ti 2GB WINDFORCE 2X OC EDITION
ASUS,139.11,ASUS GeForce GTX 1050 2GB Dual-fan Edition DVI-D HDMI DP 1.4 Gaming Graphics Card (DUAL-GTX1050-2G)
MSI,154.99,MSI GeForce GTX 1050 Ti DirectX 12 GTX 1050 TI 4GT LP 4GB 128-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready Low Profile Video Card
ASUS,309.99,ASUS GeForce GTX 1060 6GB ROG STRIX VR Ready HDMI 2.0 DP 1.4 Auto-extreme Graphics Card
EVGA,63.99,EVGA GeForce GT 730 DirectX 12 (feature level 11_0) 02G-P3-2732-KR 2GB 128-Bit DDR3 PCI Express 2.0 Low Profile Ready Video Card
ASUS,639.99,ASUS GeForce GTX 1080 STRIX-GTX1080-8G-GAMING 8GB 256-Bit GDDR5X PCI Express 3.0 Video Card
VisionTek,204.67,Visiontek Radeon 7750 SFF 2GB GDDR5 4M (4x miniDP)
XFX,799.99,XFX Radeon Pro Duo R9-PROD-8VRW 8GB 4096-Bit HBM PCI Express 3.0 CrossFireX Support Video Card
EVGA,68.92,EVGA GeForce GT 730 DirectX 12 (feature level 11_0) 01G-P3-3731-KR 1GB 64-Bit GDDR5 PCI Express 2.0 Low Profile Ready Video Card
VisionTek,82.99,"Visiontek Radeon 6350 SFF 1GB DDR3 3M DMS59 (2 x DVI-I, miniDP) w/ 2 x DVI-I to VGA Adapter"
ASUS,104.99,ASUS Dual-fan Radeon RX 460 2GB OC Edition AMD Gaming Graphics Card with DP 1.4 HDMI 2.0 (DUAL-RX460-O2G)
ASUS,449.99,ASUS ROG GeForce GTX 1070 STRIX-GTX1070-O8G-GAMING 8GB 256-Bit GDDR5 PCI Express 3.0 HDCP Ready Video Card
MSI,169.99,MSI Radeon RX 470 DirectX 12 Radeon RX 470 ARMOR 4G OC 4GB 256-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready CrossFireX Support Video Card
ASUS,279.99,ASUS GeForce GTX 1060 DUAL-GTX1060-O6G 6GB 192-Bit GDDR5 PCI Express 3.0 HDCP Ready Video Card
EVGA,39.99,EVGA GeForce GT 610 DirectX 12 (feature level 11_0) 01G-P3-2616-KR 1GB 64-Bit DDR3 PCI Express 2.0 x16 HDCP Ready Video Card
GIGABYTE,234.99,GIGABYTE Radeon RX 480 G1 Gaming 8GB GV-RX480G1GAMING-8GD Video Card
XFX,29.99,XFX HD 6000 Radeon HD 6450 DirectX 11 HD-645X-ZQH2 1GB 64-Bit DDR3 PCI Express 2.1 x16 HDCP Ready Low Profile Ready Video Card
VisionTek,32.99,"Visiontek Radeon 4350 512MB DDR2 (DVI-I, HDMI, VGA)"
VisionTek,139.99,"Visiontek Radeon 7750 SFF 1GB DDR3 3M (2 x HDMI, miniDP)"
PowerColor,179.99,PowerColor RED DRAGON Radeon RX 480 DirectX 12 AXRX 480 4GBD5-3DHDV2 4GB 256-Bit GDDR5 PCI Express 3.0 HDCP Ready CrossFireX Support ATX Video Card
VisionTek,134.99,Visiontek Radeon 5450 SFF 512MB DDR3 3M (3 x DVI-D)
VisionTek,78.99,VisionTek Radeon HD 3650 DirectX 10.1 900232 512MB 128-Bit GDDR2 PCI Express 2.0 x16 HDCP Ready CrossFireX Support Video Card
EVGA,77.99,EVGA GeForce GT 730 DirectX 12 04G-P3-2739-KR 4GB 128-Bit DDR3 PCI Express 2.0 Video Card
EVGA,44.49,EVGA GeForce GT 710 DirectX 12 02G-P3-2713-KR 2GB 64-Bit DDR3 PCI Express 2.0 Video Card
XFX,119.99,XFX Radeon RX 460 DirectX 12 RX-460P2HFG5 2GB 128-Bit GDDR5 PCI Express 3.0 Video Card
VisionTek,44.99,"Visiontek Radeon 5450 1GB DDR3 (DVI-I, HDMI, VGA)"
MSI,69.99,MSI GeForce GT 730 DirectX 12 N730K-2GD5LP/OC 2GB 64-Bit GDDR5 PCI Express 2.0 x16 HDCP Ready Video Card
GIGABYTE,39.99,GIGABYTE GeForce GT 420 2GB 80mm FAN
MSI,224.99,MSI Radeon RX 470 DirectX 12 RX 470 GAMING X 8G 8GB 256-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready CrossFireX Support ATX Video Card
VisionTek,79.99,"Radeon 5450 SFF 512MB DDR3 3M (2 x DVI-I, miniDP)"
MSI,99.99,MSI Radeon RX 460 DirectX 12 RX 460 2G OC 2GB 128-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready CrossFireX Support Video Card
