statenum,casenum,numfatal,speeding,body,class
26,116,1,1,20,large
30,109,3,0,4,small
6,530,1,0,34,large
13,883,1,0,34,large
18,482,1,0,14,large
1,469,1,1,4,small
20,49,1,1,14,large
37,523,1,0,34,large
42,1006,1,0,2,small
45,391,1,1,4,small
13,1208,1,0,34,large
45,383,1,0,4,small
48,2100,1,1,34,large
47,731,1,0,4,small
48,616,1,0,34,large
51,2,1,0,34,large
6,586,1,0,34,large
12,970,1,0,5,small
34,565,1,0,4,small
48,1436,1,0,34,large
53,306,1,0,14,large
13,612,1,0,4,small
42,497,1,1,34,large
47,550,1,0,4,small
48,354,1,0,20,large
48,2760,1,0,34,large
6,1391,1,1,14,large
12,743,1,0,34,large
17,926,1,1,4,small
26,204,1,0,4,small
51,341,1,0,21,large
6,1383,1,0,14,large
6,1601,1,0,14,large
6,1613,1,0,4,small
8,502,1,0,34,large
12,2671,1,0,14,large
25,349,1,0,14,large
51,84,1,1,6,small
23,81,1,0,34,large
47,776,1,1,4,small
48,1620,1,1,20,large
48,1861,1,0,4,small
13,39,1,0,16,large
41,294,1,0,14,large
51,1,1,0,2,small
53,384,1,0,4,small
9,158,2,0,4,small
13,1271,1,0,4,small
48,3419,1,0,34,large
51,579,1,0,4,small
6,933,1,0,14,large
24,495,1,0,14,large
36,318,2,1,4,small
37,701,1,0,15,large
51,717,3,1,4,small
4,813,1,0,1,small
22,196,1,1,14,large
22,343,2,0,20,large
28,567,1,0,4,small
48,2587,1,1,34,large
12,2030,1,0,34,large
26,650,1,0,14,large
29,387,1,0,34,large
37,1109,1,1,21,large
1,115,1,1,4,small
1,217,1,0,34,large
12,424,1,0,4,small
45,419,1,1,5,small
45,768,1,0,67,large
48,443,1,1,34,large
6,2354,1,1,21,large
37,1069,1,0,2,small
53,479,1,0,14,large
55,13,1,1,34,large
12,2846,1,1,34,large
13,154,1,0,4,small
48,743,1,0,14,large
6,1288,1,1,4,small
6,1949,1,1,34,large
13,99,1,0,34,large
25,36,1,0,4,small
30,18,1,1,6,small
37,829,1,1,34,large
37,882,1,0,15,large
37,906,1,0,34,large
22,252,1,0,6,small
28,617,1,0,1,small
56,26,1,1,4,small
5,211,1,1,4,small
48,2369,1,0,34,large
6,2156,1,0,4,small
9,232,1,0,34,large
34,347,1,1,8,small
40,163,1,0,6,small
42,279,1,1,34,large
51,86,1,0,34,large
13,846,1,0,34,large
51,349,1,0,14,large
12,2226,1,1,2,small
28,12,1,0,4,small
42,1040,1,1,34,large
47,863,1,0,14,large
55,395,1,0,34,large
17,571,1,0,14,large
4,174,1,0,34,large
5,3,2,0,4,small
6,1706,1,0,4,small
12,42,1,1,4,small
29,506,1,0,4,small
37,280,1,1,4,small
6,2136,1,0,14,large
18,330,2,1,4,small
19,298,1,0,34,large
21,366,1,0,14,large
26,566,1,0,4,small
26,875,1,0,5,small
26,885,1,0,34,large
29,83,1,0,14,large
48,1592,1,1,4,small
1,547,1,1,1,small
21,666,1,0,34,large
29,542,2,0,14,large
36,482,1,1,21,large
36,811,1,0,6,small
48,816,1,1,2,small
6,1461,1,0,4,small
13,474,1,0,14,large
13,704,1,0,4,small
20,252,1,0,2,small
22,326,1,0,4,small
48,1193,1,1,4,small
8,283,2,1,14,large
12,1651,1,0,20,large
29,644,1,0,34,large
1,443,1,1,34,large
12,25,1,0,5,small
12,3056,1,0,34,large
32,270,1,0,4,small
36,377,1,0,14,large
40,174,1,0,34,large
47,236,1,0,14,large
51,606,1,0,14,large
17,417,1,0,34,large
48,3029,1,0,34,large
6,1223,1,0,4,small
12,2499,1,0,20,large
12,2985,1,0,4,small
26,658,2,0,14,large
32,133,1,1,4,small
53,155,1,1,3,small
12,352,1,0,2,small
13,29,1,0,4,small
16,167,1,0,4,small
18,774,1,0,34,large
24,215,1,0,34,large
27,1,1,1,4,small
18,518,1,0,6,small
18,676,1,0,4,small
39,125,1,0,14,large
40,21,1,0,34,large
40,369,1,0,14,large
53,138,1,0,4,small
21,143,1,0,34,large
25,79,1,1,14,large
26,572,1,0,34,large
49,112,1,0,2,small
53,76,1,0,34,large
6,115,1,0,9,rej
12,2358,1,0,4,small
35,311,1,0,4,small
8,120,1,1,34,large
8,387,1,0,6,small
24,249,1,0,15,large
26,506,2,0,14,large
31,164,1,0,34,large
48,1745,1,0,20,large
53,206,1,1,6,small
13,1205,1,0,6,small
16,175,1,1,4,small
20,297,1,0,34,large
21,688,1,0,4,small
28,255,1,0,34,large
48,720,1,0,1,small
5,25,1,0,15,large
6,2229,1,1,4,small
40,413,3,0,34,large
48,2915,1,1,4,small
48,3413,1,0,4,small
6,2990,1,0,34,large
32,111,1,1,34,large
36,349,1,0,4,small
37,1230,2,0,14,large
39,65,1,1,4,small
39,780,1,0,14,large
47,726,1,1,14,large
12,2881,1,0,4,small
18,174,1,1,78,large
34,264,1,0,4,small
42,949,1,1,4,small
48,1694,1,0,34,large
6,230,1,0,4,small
21,611,1,0,14,large
28,5,1,1,2,small
48,512,1,0,67,large
56,71,1,0,2,small
6,2331,1,0,34,large
6,2909,1,0,4,small
12,1760,1,0,34,large
16,97,1,0,14,large
26,867,2,1,15,large
36,287,1,1,34,large
39,996,1,0,34,large
46,55,1,0,14,large
48,2432,1,0,4,small
8,265,1,0,34,large
13,690,1,1,34,large
42,623,1,0,6,small
44,65,1,0,34,large
51,149,1,0,4,small
6,1294,1,0,67,large
26,898,1,1,15,large
26,910,1,0,15,large
26,928,1,0,20,large
36,177,1,1,4,small
6,475,1,0,14,large
6,3033,1,1,4,small
26,738,1,0,15,large
51,544,1,0,34,large
17,409,1,0,34,large
25,80,1,1,20,large
26,91,1,0,4,small
34,368,1,0,14,large
37,1136,1,0,14,large
45,640,1,0,15,large
48,444,1,1,34,large
55,41,1,1,34,large
17,37,1,1,20,large
29,810,1,1,15,large
12,982,1,1,4,small
29,254,1,0,17,small
29,381,1,1,4,small
34,545,1,0,4,small
40,321,2,0,4,small
4,111,1,0,4,small
42,1071,2,1,20,large
45,211,1,0,4,small
1,638,1,0,3,small
6,1211,1,1,14,large
13,600,1,1,4,small
29,541,1,1,14,large
6,1456,1,1,14,large
28,375,1,0,4,small
36,515,1,1,2,small
51,35,1,0,15,large
39,390,1,0,14,large
39,620,1,0,4,small
54,185,1,0,21,large
6,2258,1,0,3,small
13,1431,1,0,14,large
28,305,1,0,14,large
37,625,2,1,34,large
6,425,1,0,34,large
6,1058,1,1,4,small
6,1070,1,0,4,small
6,1773,1,0,14,large
6,1796,1,0,34,large
6,2408,2,0,2,small
45,238,1,0,4,small
48,1201,1,1,4,small
51,730,1,0,14,large
12,132,1,0,34,large
18,551,1,0,4,small
21,68,1,0,14,large
24,258,1,0,4,small
40,56,1,1,4,small
41,12,1,0,34,large
6,1686,1,1,4,small
13,1242,1,0,15,large
26,489,1,0,4,small
36,830,1,1,34,large
37,1168,2,1,34,large
39,363,1,0,4,small
45,866,1,1,4,small
26,877,1,0,34,large
37,1007,1,0,15,large
18,809,2,0,5,small
26,386,1,1,1,small
39,535,1,0,4,small
48,218,1,0,34,large
54,77,2,0,14,large
6,1626,1,0,2,small
8,591,3,0,20,large
16,190,1,1,14,large
21,674,1,1,34,large
22,576,1,0,34,large
40,503,1,0,34,large
13,322,1,0,14,large
21,576,1,0,4,small
27,146,1,0,4,small
45,769,1,1,14,large
48,883,1,0,6,small
48,2093,2,0,34,large
13,627,1,0,14,large
27,84,1,0,34,large
29,296,1,0,14,large
29,514,1,1,4,small
32,278,1,1,4,small
48,701,1,1,34,large
6,666,1,0,2,small
12,1312,1,0,5,small
13,274,1,0,4,small
22,35,1,0,14,large
42,121,2,0,4,small
45,721,1,1,4,small
25,216,1,1,4,small
29,729,1,1,34,large
34,227,1,0,6,small
37,1249,1,1,4,small
1,762,1,0,4,small
4,836,1,0,4,small
6,1772,2,1,4,small
8,411,1,0,5,small
12,1984,2,0,15,large
39,910,1,1,2,small
47,50,1,0,34,large
48,101,1,0,34,large
48,1194,1,1,4,small
55,187,1,0,34,large
55,343,2,0,20,large
18,447,1,1,4,small
34,245,1,0,4,small
47,42,1,0,34,large
55,338,1,0,34,large
55,422,1,0,4,small
48,3272,1,0,14,large
6,1238,1,0,14,large
10,90,1,0,2,small
28,410,1,0,4,small
34,485,1,0,14,large
37,41,1,0,34,large
12,2831,1,0,67,large
17,443,1,0,5,small
28,55,1,0,34,large
29,880,1,1,2,small
48,1799,1,0,34,large
10,72,1,0,4,small
13,430,1,0,4,small
48,2922,1,0,49,large
1,713,1,0,14,large
28,172,1,0,14,large
48,2512,1,0,6,small
18,225,1,0,4,small
28,180,1,0,14,large
35,306,1,1,14,large
42,1038,1,1,4,small
45,516,1,0,14,large
48,2327,1,0,4,small
6,71,1,0,34,large
18,690,1,0,34,large
21,34,1,1,34,large
39,711,1,1,14,large
42,861,1,1,2,small
12,604,1,0,4,small
28,317,2,0,6,small
31,73,1,0,20,large
48,1618,1,0,34,large
26,92,1,0,4,small
35,70,1,1,14,large
42,159,1,0,34,large
44,30,1,1,4,small
54,75,1,1,34,large
4,854,2,0,9,rej
37,878,1,0,34,large
37,920,1,0,4,small
45,369,2,1,4,small
6,725,2,0,15,large
12,2535,1,0,3,small
21,199,1,0,34,large
24,41,1,0,4,small
44,7,1,0,2,small
48,633,2,0,67,large
48,3107,1,0,4,small
6,105,1,1,4,small
6,223,1,0,4,small
27,21,1,0,4,small
47,897,1,0,1,small
48,2308,1,0,4,small
5,262,1,0,9,rej
17,628,2,1,4,small
24,506,1,0,6,small
26,454,1,0,4,small
37,731,1,0,4,small
48,1318,1,0,14,large
6,2893,1,0,78,large
12,1034,1,0,21,large
16,210,1,0,14,large
41,352,1,0,4,small
6,3344,1,0,2,small
12,29,1,0,6,small
13,592,1,0,4,small
29,770,1,0,14,large
42,397,1,0,14,large
1,260,1,0,4,small
6,1176,1,0,20,large
13,1425,1,0,34,large
20,258,1,1,14,large
29,858,1,0,15,large
36,53,1,0,4,small
21,708,1,0,4,small
45,392,1,1,4,small
48,1548,1,0,4,small
51,366,1,0,2,small
54,122,1,0,34,large
13,1209,1,0,34,large
36,495,1,0,4,small
45,383,1,0,21,large
51,185,2,1,4,small
51,723,1,0,20,large
55,222,1,0,34,large
13,86,1,0,20,large
13,188,1,0,34,large
13,825,2,1,4,small
48,1019,1,1,14,large
48,3141,1,0,34,large
36,477,1,0,6,small
54,241,2,0,6,small
6,862,1,0,4,small
12,2840,1,0,4,small
21,540,1,0,4,small
29,321,2,0,4,small
39,720,1,0,6,small
48,1221,1,0,4,small
48,1924,1,0,14,large
48,2648,2,0,14,large
12,2141,1,0,5,small
53,133,1,0,67,large
53,198,1,0,6,small
6,1419,1,0,14,large
6,1649,1,0,4,small
25,288,1,1,14,large
42,338,1,0,3,small
12,1369,1,0,4,small
12,1612,1,0,34,large
12,1243,3,0,34,large
34,302,1,0,2,small
36,684,1,1,4,small
55,195,1,0,34,large
6,1822,1,0,4,small
6,1856,1,1,2,small
6,1865,1,0,34,large
6,2755,1,0,4,small
9,267,1,0,4,small
37,1011,1,0,14,large
4,779,1,0,14,large
12,1968,1,0,5,small
22,319,1,0,34,large
6,37,1,1,14,large
8,1,1,0,4,small
45,150,1,1,4,small
48,2559,1,0,6,small
9,141,1,0,4,small
37,251,1,0,14,large
12,182,1,0,4,small
34,514,1,0,4,small
48,219,1,0,34,large
55,69,1,0,34,large
6,754,1,0,3,small
12,278,1,0,14,large
12,1852,1,0,3,small
12,3011,1,0,2,small
17,536,1,0,4,small
20,97,1,0,14,large
26,308,1,0,4,small
45,464,1,1,20,large
1,413,1,1,4,small
6,2659,1,0,14,large
39,378,1,0,6,small
42,454,1,1,4,small
46,32,2,1,14,large
48,2602,1,1,20,large
6,1689,1,0,15,large
13,1021,1,0,4,small
29,48,1,0,4,small
37,1137,1,0,14,large
47,736,2,0,4,small
4,181,1,1,34,large
12,508,1,0,14,large
28,85,2,0,4,small
29,40,1,0,4,small
37,1220,1,0,14,large
48,1241,1,0,4,small
49,9,1,0,14,large
1,405,1,0,4,small
5,321,1,0,34,large
6,2744,1,1,4,small
41,166,1,1,48,large
4,533,1,0,15,large
6,2889,1,0,4,small
12,2393,1,0,14,large
36,120,1,0,5,small
42,133,1,0,4,small
47,606,1,0,4,small
47,712,1,0,4,small
48,1774,1,0,2,small
6,250,1,0,4,small
12,821,1,0,4,small
26,380,1,1,14,large
39,124,1,0,14,large
48,1324,1,1,15,large
29,569,1,0,14,large
39,837,1,1,14,large
40,584,1,0,6,small
48,51,1,0,15,large
4,529,1,0,4,small
39,723,1,0,14,large
13,487,2,0,4,small
34,244,2,0,2,small
39,209,1,0,4,small
39,847,1,0,2,small
40,470,1,0,4,small
48,243,1,0,6,small
53,12,1,0,15,large
13,1370,1,1,34,large
36,775,1,0,14,large
45,227,2,1,15,large
47,787,1,0,4,small
6,89,2,0,15,large
18,29,1,0,20,large
26,561,1,1,14,large
42,550,1,0,14,large
4,160,1,1,4,small
6,2827,1,1,14,large
16,147,1,0,4,small
37,258,1,0,34,large
32,194,1,0,4,small
41,210,1,1,34,large
48,2516,1,0,4,small
55,237,1,1,4,small
13,302,1,1,4,small
21,457,1,0,34,large
36,153,1,0,6,small
36,530,1,0,4,small
48,2993,1,0,34,large
51,605,1,0,34,large
1,782,1,0,4,small
12,2078,1,1,2,small
17,77,1,0,20,large
33,7,1,1,4,small
39,953,1,0,4,small
45,726,1,0,4,small
48,1411,1,1,4,small
54,256,1,0,34,large
47,681,1,0,15,large
48,797,4,0,4,small
6,1948,1,0,4,small
6,2743,1,1,21,large
15,85,1,0,6,small
24,313,1,0,14,large
9,58,1,0,4,small
20,202,1,0,6,small
39,190,1,1,4,small
41,84,1,1,34,large
4,674,3,1,34,large
22,710,1,1,34,large
29,463,1,0,34,large
36,746,1,0,34,large
39,746,1,0,34,large
40,405,1,0,6,small
48,1437,3,1,4,small
48,3064,1,0,1,small
36,25,2,1,4,small
10,87,1,0,34,large
25,259,1,1,34,large
37,86,1,1,14,large
48,1442,1,0,15,large
12,2491,2,0,5,small
51,642,1,0,14,large
6,420,1,1,4,small
8,266,1,0,14,large
55,160,1,0,4,small
6,1830,1,0,4,small
6,2556,1,1,34,large
12,1377,1,0,4,small
12,2080,1,0,14,large
13,217,1,0,14,large
27,247,1,1,2,small
35,269,1,0,34,large
37,328,1,0,4,small
28,306,1,0,14,large
40,28,1,1,4,small
1,602,1,1,4,small
5,112,1,0,34,large
6,1372,1,1,14,large
17,842,1,0,20,large
22,604,1,1,34,large
36,551,2,1,6,small
48,2561,1,0,19,large
6,1794,1,0,4,small
12,956,1,0,2,small
12,1887,1,1,20,large
12,2455,1,0,4,small
21,285,2,0,14,large
22,570,1,1,14,large
10,56,1,0,15,large
18,72,1,1,4,small
37,897,1,0,1,small
6,3289,1,1,5,small
12,2067,1,0,34,large
33,27,1,1,4,small
6,125,1,0,4,small
21,109,1,0,4,small
21,583,1,1,15,large
36,253,1,0,4,small
4,118,1,0,34,large
21,340,1,0,67,large
31,14,2,0,20,large
55,50,1,1,34,large
1,280,1,0,4,small
33,35,1,1,4,small
40,110,1,0,34,large
55,42,1,1,34,large
12,708,1,0,14,large
12,938,1,0,4,small
12,1181,1,0,34,large
34,340,1,0,14,large
4,934,1,1,34,large
6,1947,1,0,21,large
6,2429,1,0,4,small
12,1189,1,0,34,large
22,182,1,0,4,small
39,885,1,0,14,large
8,362,1,0,34,large
10,5,1,1,4,small
26,900,1,0,20,large
51,450,1,0,6,small
51,489,1,0,34,large
18,315,1,1,34,large
39,934,1,0,4,small
6,376,1,1,34,large
12,773,1,1,4,small
13,224,1,0,34,large
36,81,1,0,4,small
39,134,1,1,4,small
47,104,1,0,4,small
21,46,1,0,34,large
27,70,1,0,14,large
28,143,3,0,4,small
36,190,1,0,34,large
45,663,1,0,34,large
48,407,1,0,67,large
48,830,1,0,34,large
17,724,2,0,14,large
17,1030,1,1,15,large
26,49,1,0,2,small
37,850,1,0,34,large
51,16,1,0,14,large
51,39,1,1,34,large
51,390,1,0,4,small
5,168,1,0,4,small
13,1127,1,0,4,small
18,271,1,1,2,small
39,1,1,0,4,small
39,244,1,0,34,large
48,1638,1,0,34,large
5,419,1,0,34,large
12,875,1,0,34,large
26,209,1,1,2,small
42,885,1,0,4,small
12,1916,1,0,2,small
36,397,1,0,4,small
48,1355,1,1,4,small
48,2446,1,0,34,large
12,2857,1,0,2,small
47,603,1,1,20,large
12,2140,1,0,5,small
29,201,1,0,20,large
21,424,1,0,3,small
35,276,1,1,2,small
37,364,1,0,4,small
6,1814,1,0,15,large
20,6,1,0,4,small
36,426,1,0,14,large
36,656,1,0,4,small
41,83,1,0,4,small
2,17,1,0,14,large
4,578,1,0,14,large
5,238,1,0,34,large
5,438,1,0,34,large
22,281,1,0,6,small
37,885,1,0,34,large
45,490,1,1,34,large
15,24,1,1,2,small
18,101,1,1,14,large
18,475,1,0,4,small
29,99,1,0,6,small
48,1277,1,0,4,small
55,89,1,0,34,large
6,826,1,0,34,large
23,96,1,0,20,large
9,66,1,0,4,small
6,960,1,0,34,large
27,336,1,0,20,large
37,715,1,1,2,small
6,2594,1,0,32,large
6,3193,1,0,4,small
8,391,1,0,14,large
21,478,1,0,34,large
22,174,1,0,34,large
22,480,1,0,34,large
40,118,1,0,34,large
55,339,1,0,34,large
6,834,1,0,4,small
40,235,1,0,34,large
41,291,1,0,20,large
42,309,1,1,4,small
1,566,1,1,4,small
6,2353,1,0,14,large
28,181,1,0,14,large
37,579,1,0,34,large
55,113,1,1,4,small
17,885,1,0,4,small
26,680,2,0,4,small
26,790,1,0,6,small
31,9,1,0,4,small
34,273,1,0,4,small
6,2555,1,0,4,small
13,287,1,0,20,large
21,431,2,0,14,large
32,70,1,0,4,small
45,684,1,0,14,large
48,1683,1,1,16,large
6,827,1,0,34,large
6,2693,1,0,34,large
13,530,1,0,14,large
21,121,1,0,15,large
49,198,1,0,14,large
49,257,1,0,3,small
53,85,2,0,34,large
6,411,1,0,4,small
13,223,1,0,21,large
13,952,1,0,14,large
21,485,1,1,34,large
37,1045,1,0,4,small
42,377,1,1,14,large
48,2185,1,1,16,large
48,2202,1,0,4,small
48,2704,1,0,34,large
6,2818,1,0,34,large
6,3321,1,0,16,large
40,2,1,1,14,large
32,258,1,0,20,large
40,372,2,0,6,small
47,771,1,0,15,large
49,8,1,1,15,large
51,392,1,0,16,large
6,3109,2,0,15,large
9,202,1,0,5,small
9,219,1,1,4,small
13,92,1,0,14,large
34,215,1,0,14,large
6,114,1,1,4,small
13,1029,1,0,4,small
18,495,1,0,4,small
24,426,1,0,4,small
34,496,1,0,6,small
17,355,1,0,4,small
17,364,1,0,20,large
18,357,2,0,15,large
21,157,1,0,14,large
1,802,1,1,15,large
6,1698,1,0,14,large
18,596,2,1,4,small
35,108,1,0,34,large
18,627,1,0,21,large
28,457,1,0,34,large
6,175,2,0,4,small
6,3303,1,0,1,small
17,516,1,1,20,large
22,347,1,0,78,large
4,557,1,1,4,small
13,411,1,0,4,small
45,303,2,0,14,large
48,2483,2,0,34,large
1,69,2,0,34,large
41,49,1,0,34,large
51,602,2,0,14,large
53,405,1,1,34,large
9,63,2,0,20,large
26,245,1,0,34,large
39,29,1,1,4,small
47,384,1,0,14,large
8,392,2,0,4,small
12,430,1,0,14,large
16,138,1,0,4,small
19,138,1,1,34,large
39,1035,1,1,2,small
48,388,1,1,34,large
13,1327,1,0,4,small
45,698,1,0,4,small
48,255,1,1,34,large
48,3079,1,0,4,small
51,523,1,0,4,small
12,381,1,0,2,small
12,974,1,0,3,small
41,26,1,0,14,large
48,3224,1,0,4,small
56,33,1,0,34,large
13,494,1,0,34,large
42,602,2,1,2,small
48,1555,1,0,4,small
13,1077,2,0,6,small
54,137,1,1,4,small
1,379,1,0,34,large
28,273,2,0,34,large
1,305,2,0,14,large
6,539,1,1,14,large
48,1470,1,0,14,large
48,3396,1,0,15,large
55,487,2,0,4,small
6,2783,3,0,16,large
6,3247,1,1,2,small
26,2,1,0,4,small
36,282,1,0,3,small
48,2105,1,1,14,large
12,2209,1,0,6,small
26,406,1,1,4,small
39,150,2,0,4,small
2,9,1,0,14,large
6,153,1,0,4,small
6,1767,1,0,34,large
13,1417,1,0,34,large
33,47,1,0,4,small
48,900,1,0,4,small
12,1871,1,0,4,small
21,70,1,1,4,small
29,325,1,0,4,small
32,106,1,1,3,small
35,96,1,1,34,large
37,230,1,1,15,large
20,230,5,0,4,small
42,238,1,1,4,small
42,953,1,0,14,large
49,68,1,1,34,large
6,2673,1,0,34,large
37,535,1,1,2,small
4,71,1,1,20,large
4,333,1,0,4,small
8,371,1,0,14,large
12,2004,1,0,4,small
17,295,1,0,2,small
20,131,1,0,4,small
22,632,1,0,34,large
34,196,1,0,14,large
34,409,1,0,4,small
42,501,1,0,67,large
6,1669,1,0,4,small
17,628,2,1,21,large
21,520,1,0,4,small
22,568,1,1,2,small
6,2297,1,0,4,small
13,884,1,1,4,small
18,422,1,0,6,small
19,194,1,0,14,large
29,470,1,0,4,small
18,778,2,0,3,small
31,17,1,0,4,small
32,108,1,1,15,large
36,652,2,1,4,small
36,664,1,1,4,small
39,684,1,0,6,small
