part,name,type,builds,price_low,price_high,release,in_progress,mockups,vendors,image
4329,Lumenier AXII 5.8GHz Antenna (RHCP) (2pcs),antenna,42,39.99,39.99,11/12/2016,3,16,1,http://d1b5yzykmxw6e8.cloudfront.net/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/l/u/lumenier-axxi-5-8-antenna-pair.jpg
10213,Realacc 5.8G 5dBi 50W Omnidirectional Omni FPV Flat Panel Pagoda Antenna LHCP/RHCP SMA/RP-SMA,antenna,8,8.99,8.99,4/20/2017,4,6,1,https://img1.banggood.com/thumb/view/oaupload/banggood/images/96/93/184a6269-89b0-41af-b53c-baeabe0a6081.jpg
9665,4PCS Racerstar Labs 28A 28amp 2-5S Dshot600 Ready ESC BLHeli_S 16.5 BB2 Supports Dshot300 Dshot150,esc,8,34.99,34.99,4/4/2017,8,14,1,http://img3.banggood.com/thumb/view/oaupload/banggood/images/24/2B/024027a7-8425-4fe7-af01-e71b59224916.JPG
3721,Flysky FS-A8S FS A8S 2.4G 8CH Mini Receiver with PPM i-BUS SBUS Output,rx,37,9.99,9.99,8/26/2016,15,30,1,https://img1.banggood.com/thumb/view/oaupload/banggood/images/A3/F5/5b159b52-b2d6-4614-b060-74249488ae0f.JPG
4581,FrSky Ultra Light XM Receiver Up To 16CH,rx,20,9.9,9.9,12/29/2016,5,17,1,https://img3.banggood.com/thumb/view/oaupload/banggood/images/9E/1D/01854e06-901e-44f3-92fb-bc26e669a9c7.jpg
13100,Mr Steele 2306 2345KV Silk Motor,motor,24,27.95,41,1/22/2017,9,20,4,http://cdn.shopify.com/s/files/1/0991/6686/products/TBS-MR-STEELE-2345KV-SILK-1_grande.jpg?v=1482612331
4116,Turnigy Graphene 1300mAh 4S 65C Lipo Pack w/XT60,battery,68,26.84,26.84,4/22/2016,7,42,1,https://hobbyking.com/media/catalog/product/cache/1/image/565x414/9df78eab33525d08d6e5fb8d27136e95/legacy/catalog/91177.jpg
13553,Raceflight Revolt V2 Flight Controller,fc,24,38.88,38.88,2/10/2017,7,19,3,https://s3.amazonaws.com/content.readymaderc.com/product_images/images/000/000/921/large/RF-6810.jpg
13262,DYS XSD 30A V2 3-5S ESC BLHeli_S,esc,19,11.96,16.99,3/14/2017,4,11,6,http://d1b5yzykmxw6e8.cloudfront.net/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/d/y/dys-xsd-30a-3-6s-esc-blheli-s_1.jpg
13105,Emax RS2205-2300 2205 2300KV Racing Edition CW/CCW Motor For FPV Multicopter,motor,54,16.99,58.99,3/5/2016,8,41,5,http://img.banggood.com/thumb/view/oaupload/banggood/images/6E/A1/10304fe6-7573-4d6b-b8ed-83ebd2569847.jpg
13117,RunCam Swift,fpvcamera,64,32.99,39.99,4/22/2016,10,36,4,http://cdn6.bigcommerce.com/s-m8o52p/products/129/images/620/swift_OR__43917.1487313086.500.750.jpg?c=2
9812,Gemfan PC 2035 BN Bullnose 4-Blade Polycarbonate Unbreakable Clear/Clear Blue/Clear Purple,prop,16,3.39,3.39,4/9/2017,5,3,1,http://cdn.shopify.com/s/files/1/0942/2120/products/Gemfan-2035-4bn-blue-propellers-4-600x600_1024x1024.jpg?v=1490683368
4273,OMNIBUS Betaflight F3 AIO V1.1 Flight Controller with Integrated OSD Barometer Support SD Card,fc,24,22.99,22.99,12/1/2016,9,29,1,https://img.banggood.com/thumb/view/oaupload/banggood/images/BD/E3/9149bd8d-ca26-4ea8-8ed6-56b8b6d9a7f7.jpg
9520,Lumenier Pagoda 2 5.8GHz Antenna (RHCP),antenna,11,11.99,11.99,5/12/2017,5,16,1,http://d1b5yzykmxw6e8.cloudfront.net/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/l/u/lumenier-pagoda-58ghz-antenna-rhcp.jpg
4537,Lumenier LUX V2 Flight Controller,fc,29,36.99,36.99,12/27/2016,4,15,1,http://d1b5yzykmxw6e8.cloudfront.net/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/l/u/lumenier-lux-v2-flight-controller.jpg
14286,DYS BE1104 1104 Brushless Motor 5400KV 6500KV 7000KV 2-3S for 100 120 150 Mini Multirotors,motor,24,8.99,25,7/22/2016,4,26,8,https://img3.banggood.com/thumb/view/oaupload/banggood/images/27/02/efed8d01-d018-c426-e9e6-28b4578a6d74.jpg
11264,Hyperlite FLOSS 5 inch Racing Frame,frame,17,44.99,44.99,5/13/2017,3,10,1,http://pirofliprc.com/assets/images/18472093_1937233026512997_1684371596_o.jpg
10172,Armattan OOmph 2206/2300 KV Motor,motor,19,20,20,11/14/2016,6,22,1,http://cdn3.bigcommerce.com/s-wrwm6/products/700/images/1475/Armattan_Oomph_2206_Motor_8__78818.1482156548.500.659.jpg?c=2
4457,Tattu R-Line 1550mAh 95C 4S1P lipo battery pack with XT60,battery,38,45,45,12/17/2016,4,11,1,http://www.multirotormania.com/5028-large_default/tattu-r-line-1550mah-95c-4s1p-lipo-battery-pack-with-xt60.jpg
9398,Pagoda-2 Omni Antenna RHCP Kit,antenna,14,6.39,6.39,3/26/2017,10,8,1,https://farvew.com/489-large_default/pagoda-2-omni-antenna-rhcp.jpg
5118,HQProp DP Clear 5x4x3 PC V1S Propeller - 3 Blade (Set of 4 - PC),prop,16,3.99,3.99,12/8/2016,4,9,1,http://d1b5yzykmxw6e8.cloudfront.net/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/l/e/lead-clear_2.jpg
3688,Realacc X210 214mm 3mm/4mm Carbon Fiber FPV Racing Frame w/ Matek PDB-XT60 5V & 12V,frame,15,23.99,23.99,9/15/2016,4,14,1,https://img2.banggood.com/thumb/view/oaupload/banggood/images/45/64/a44b95f8-1723-4a07-a8e4-c57850893c41.jpg
11113,Matek FCHUB-6S Hub Power Distribution Board 5V & 10V BEC Built-in 184A Current Sensor,pdb,8,9.68,9.68,5/10/2017,5,8,1,https://img1.banggood.com/thumb/view/oaupload/banggood/images/61/C7/e0fbe5f6-a9c1-4705-a60e-3f7861cb07c5.jpg
9669,Matek Systems HUBOSD8-SE 9-27V PDB W/ STOSD8-SE 5V&10V Dual BEC For RC Multirotors,pdb,17,15.99,15.99,4/4/2017,3,10,1,http://img.banggood.com/thumb/view/oaupload/banggood/images/9A/C1/0b7724bd-78c9-4000-be06-1fa932b0045d.jpg
2724,Flysky 2.4G 6CH FS-iA6B Receiver PPM Output With iBus Port,rx,25,9.99,9.99,12/5/2015,7,18,1,http://img3.banggood.com/thumb/view/upload/2015/05/SKU233735-6.jpg
3132,"RaceKraft 5"" 5040 Tri-Blade Race Props - Clear, Blue Clear, Gold, Smoke",prop,31,2.99,2.99,8/21/2016,2,12,1,http://cdn.shopify.com/s/files/1/1285/4651/products/7D2_9141_1024x1024.jpg?v=1471059230
13263,DYS F30A 4-in-1 ESC BLHeli_S Dshot,esc,12,34.98,44.99,5/26/2017,6,9,6,https://img2.banggood.com/thumb/view/oaupload/banggood/images/B3/99/c772dd8f-0ff7-4f06-b069-000d9d21a0a1.jpg
3094,Lisam LS-210 210mm Carbon Fiber Frame Kit Mini Quadcopter,frame,6,14.99,14.99,4/18/2016,8,24,1,https://img2.banggood.com/thumb/view/oaupload/banggood/images/FC/DA/aac58628-2ada-469b-a67f-889fc10ad897.jpg
4509,Cicada 4-in-1 10A BusyBee2 Tiny BLHeli_S DShot ESC,esc,27,39.99,39.99,12/24/2016,1,7,1,http://cdn.shopify.com/s/files/1/0942/2120/products/IMG_7641_1024x1024.JPG?v=1481948778
8047,Tattu R-Line 4S 1300 mAh 95C Lipo Battery,battery,33,37.65,37.65,2/13/2017,6,9,1,http://cdn.shopify.com/s/files/1/2089/8963/products/tattu-rline_grande.jpg?v=1499232809
5481,"600TVL 2.8mm Lens 1/3"" Super Had II CCD Camera IR Sensitive for FPV Racing Drone PAL/NTSC",fpvcamera,12,21.99,21.99,11/18/2016,10,27,1,http://img2.banggood.com/thumb/view/oaupload/banggood/images/34/2C/43602d8d-1312-19ce-63f3-622f9fc2aaf2.jpg
13102,EMAX RS2306 2400kv Black FPV Racing Motor,motor,13,21.99,84.99,4/8/2017,3,12,8,http://pirofliprc.com/assets/images/img_6388__02483148968851912801280.jpg
11654,HQ 5x4.3x3 V1S (2CW+2CCW) PC **Choose Color**,prop,11,3.69,3.69,5/22/2017,5,2,1,http://pirofliprc.com/assets/images/18318225_442320429449552_1206246972_o.jpg
11757,EMAX Pagoda Antenna RHCP Set of 2 - 50mm and 80mm,antenna,6,14.99,14.99,5/24/2017,5,8,1,http://cdn.shopify.com/s/files/1/1285/4651/products/geekbuying-2PCS-Emax-Pagoda-2-5-8GHz-50mm-RHCP-FPV-Antenna-SMA-plug-Red-408007_1024x1024.jpg?v=1493394197
8699,Tattu 850mAh 14.8V 75C 4S1P Lipo Battery Pack with XT30 plug,battery,11,15,15,3/6/2017,4,6,1,https://flexrc.com/wp-content/uploads/2016/10/Tattu-850mah-4S-75C-battery-1.jpg
4328,Impulse RC Alien RR5 (Kit),frame,16,129,129,6/21/2016,6,20,1,http://cdn3.bigcommerce.com/s-9clzu/products/23/images/437/DSC00700_1000__29011.1492118582.380.500.jpg?c=2
8294,Mini Power Distribution Board V3 (Mini PDB V3),pdb,17,7,7,2/3/2017,7,7,1,http://cdn3.bigcommerce.com/s-wrwm6/products/615/images/1259/Mini_PDB_V3_4__96087.1472142674.500.659.jpg?c=2
9431,FLIP 32 - F3 - OMNIBUS NANO v2,fc,14,26.99,26.99,4/3/2017,0,8,1,http://cdna3.zoeysite.com/Adzpo594RQGDpLcjBynL1z/cache=expiry:31536000/compress/http://s3.amazonaws.com/zcom-media/sites/a0iE000000GWIo4IAH/media/catalog/product/2/0/20170326_145650.jpg
14429,RunCam Eagle 2 800TVL CMOS 2.1mm/2.5mm 4:3/16:9 NTSC/PAL Switchable Super WDR FPV Camera Low Latency,fpvcamera,2,44.99,44.99,6/20/2017,4,6,2,https://img3.banggood.com/thumb/view/oaupload/banggood/images/72/E5/5138a6b6-7735-4e39-93a6-93cd5c130f22.jpg
14274,Lumenier RX2206-11 2350Kv Motor,motor,30,25.99,25.99,5/4/2016,6,26,3,http://d1b5yzykmxw6e8.cloudfront.net/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/l/u/lumenier-rx2206-13-2000kv-lead_1.jpg
99,600TVL 1/4 1.8mm CMOS FPV 170 Degree Wide Angle Lens Camera PAL/NTSC 3.7-5V,fpvcamera,64,7.99,7.99,4/20/2016,2,37,1,http://img.banggood.com/thumb/view/upload/2015/07/SKU251677.1.jpg
4578,Eachine TX03 NTSC Super Mini 0/25mW/50mW/200mW Switchable AIO 5.8G 72CH VTX 600TVL 1/3 Cmos FPV Camera,fpvcamera,22,22.99,22.99,1/17/2017,4,27,1,http://img1.banggood.com/thumb/view/oaupload/banggood/images/41/AE/f69bf474-6d6f-440b-4498-035b6ae68e7e.jpg
10850,RaceDayQuads 2205 2450kv BadAss Racing Motor by BrotherHobby,motor,3,13.49,13.49,3/24/2017,2,10,1,http://cdn.shopify.com/s/files/1/1285/4651/products/20170502_183408_1024x1024_b6a3307a-14c8-4ffc-80a7-410a289c70df_1024x1024.jpg?v=1493910811
2443,4X Racerstar RS20A 20A BLHELI_S OPTO 2-4S ESC Support Oneshot42 Multishot for FPV Racing,esc,17,24.99,24.99,7/13/2016,3,18,1,http://img2.banggood.com/thumb/view/oaupload/banggood/images/DC/EE/39539207-ae01-4a2f-83ee-9d9b55169b50.jpg
14271,AOMWAY 5.8G 3dBi RP-SMA Male Four Lobe RHCP VTx/VRx FPV Antenna,antenna,29,14.79,16.21,2/1/2016,5,26,3,http://img.banggood.com/thumb/view/upload/2015/05/SKU229024.jpg
13261,Spedix 30a 4 in 1 Dshot 600 BlHeli_S ESC  for FPV RACING,esc,15,44.99,49.99,1/10/2017,3,2,4,http://pirofliprc.com/assets/images/spedix-4-in-1-esc-1.jpg
4544,CleanFlight & BetaFlight Micro F3 Flight Controller Built-in PDB Buzzer Port 20X20mm For FPV Racing,fc,26,23.99,23.99,11/20/2016,4,19,1,https://img1.banggood.com/thumb/view/oaupload/banggood/images/E5/E6/ddcf6443-1f2e-4641-97dc-91cdf109cafe.jpg
10835,Spedix 20a ESC - Lite DShot 600 BLHeli_S,esc,9,8.99,8.99,5/4/2017,2,5,1,http://cdn.shopify.com/s/files/1/1285/4651/products/ES20-Lite-01_1024x1024_b48f6b21-5380-45d5-a4b0-df3456f0c84e_1024x1024.jpg?v=1492134708
13556,"Asgard AIO Flight Controller (F4 FC, 4x 25A ESC, OSD, PDB, Curr)",fc,9,79.99,87.99,7/6/2017,3,6,3,http://d1b5yzykmxw6e8.cloudfront.net/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/l/u/lumenier-asgard-aio-flight-controller.jpg
4848,Spektrum Quad Race Serial Receiver w/ Telemetry (SPM4649T),rx,11,49.99,49.99,12/15/2016,3,10,1,http://d1b5yzykmxw6e8.cloudfront.net/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/s/p/spektrum-spm4649t-receiver_1.jpg
